Date,Close,bol_upp,bol_mid,bol_low,macd_line,macd_signal,macd_histogram,rsi_val,y,diff,1hot
2012-04-11,732.9,809.429,754.275,699.121,-14.367,-15.456,1.089,37.898,742.9,10.0,1.0
2012-04-12,742.9,796.708,750.487,704.267,-13.454,-15.056,1.602,47.08,751.25,8.350000000000023,1.0
2012-04-13,751.25,782.511,747.335,712.159,-11.918,-14.428,2.51,53.678,748.3,-2.9500000000000455,0.0
2012-04-16,748.3,770.732,744.847,718.963,-10.815,-13.706,2.891,51.082,746.4,-1.8999999999999773,0.0
2012-04-17,746.4,766.131,743.57,721.009,-9.979,-12.96,2.981,49.309,749.35,2.9500000000000455,1.0
2012-04-18,749.35,765.399,743.292,721.186,-8.975,-12.163,3.188,52.276,741.75,-7.600000000000023,0.0
2012-04-19,741.75,762.949,742.36,721.771,-8.692,-11.469,2.777,44.529,731.45,-10.299999999999955,0.0
2012-04-20,731.45,757.616,740.515,723.414,-9.194,-11.014,1.82,36.152,736.1,4.649999999999977,1.0
2012-04-23,736.1,757.617,740.495,723.373,-9.11,-10.633,1.523,41.85,734.7,-1.3999999999999773,0.0
2012-04-24,734.7,757.256,740.03,722.804,-9.053,-10.317,1.264,40.592,736.35,1.6499999999999773,1.0
2012-04-25,736.35,757.004,740.357,723.711,-8.774,-10.009,1.235,42.926,745.45,9.100000000000023,1.0
2012-04-26,745.45,757.239,741.095,724.951,-7.729,-9.553,1.824,54.342,742.1,-3.3500000000000227,0.0
2012-04-27,742.1,756.387,741.902,727.418,-7.089,-9.06,1.971,50.087,739.9,-2.2000000000000455,0.0
2012-04-28,739.9,754.781,742.655,730.529,-6.683,-8.584,1.902,47.281,745.2,5.300000000000068,1.0
2012-04-30,745.2,754.407,742.502,730.598,-5.865,-8.041,2.175,54.384,743.35,-1.8500000000000227,0.0
2012-05-02,743.35,754.512,742.63,730.748,-5.306,-7.494,2.188,51.585,738.85,-4.5,0.0
2012-05-03,738.85,752.993,741.95,730.907,-5.166,-7.028,1.862,45.073,726.45,-12.399999999999977,0.0
2012-05-04,726.45,753.663,740.917,728.172,-5.986,-6.82,0.833,32.165,715.3,-11.150000000000091,0.0
2012-05-07,715.3,756.646,739.552,722.459,-7.451,-6.946,-0.505,24.797,708.65,-6.649999999999977,0.0
2012-05-08,708.65,759.705,737.835,715.965,-9.043,-7.365,-1.678,21.42,695.1,-13.549999999999955,0.0
2012-05-09,695.1,764.973,735.945,706.917,-11.269,-8.146,-3.123,16.225,694.65,-0.4500000000000455,0.0
2012-05-10,694.65,767.693,733.532,699.372,-12.92,-9.101,-3.819,16.076,697.3,2.6499999999999773,1.0
2012-05-11,697.3,767.531,730.835,694.139,-13.855,-10.052,-3.804,21.017,681.15,-16.149999999999977,0.0
2012-05-14,681.15,769.366,727.477,685.589,-15.719,-11.185,-4.533,14.863,681.2,0.05000000000006821,1.0
2012-05-15,681.2,769.883,724.217,678.552,-16.995,-12.347,-4.648,14.952,676.2,-5.0,0.0
2012-05-16,676.2,769.36,720.56,671.76,-18.2,-13.518,-4.683,13.344,685.1,8.899999999999977,1.0
2012-05-17,685.1,767.906,717.727,667.549,-18.227,-14.46,-3.768,29.027,688.65,3.5499999999999545,1.0
2012-05-18,688.65,766.939,715.587,664.236,-17.758,-15.119,-2.638,34.484,695.5,6.850000000000023,1.0
2012-05-21,695.5,764.704,713.557,662.411,-16.641,-15.424,-1.217,44.061,691.2,-4.2999999999999545,0.0
2012-05-22,691.2,762.443,711.382,660.322,-15.919,-15.523,-0.396,39.843,687.2,-4.0,0.0
2012-05-23,687.2,759.656,708.925,658.194,-15.491,-15.516,0.025,36.13,696.45,9.25,1.0
2012-05-24,696.45,754.436,706.475,658.514,-14.242,-15.261,1.02,48.848,692.0,-4.4500000000000455,0.0
2012-05-25,692.0,749.255,703.97,658.685,-13.455,-14.9,1.445,43.986,701.2,9.200000000000045,1.0
2012-05-28,701.2,744.045,702.035,660.025,-11.952,-14.311,2.358,54.734,701.75,0.5499999999999545,1.0
2012-05-29,701.75,736.641,699.862,663.084,-10.594,-13.567,2.973,55.325,706.2,4.4500000000000455,1.0
2012-05-30,706.2,728.802,698.005,667.208,-9.055,-12.665,3.61,60.181,706.0,-0.20000000000004547,0.0
2012-05-31,706.0,720.844,696.362,671.881,-7.761,-11.684,3.923,59.844,683.7,-22.299999999999955,0.0
2012-06-01,683.7,714.799,694.225,673.651,-8.438,-11.035,2.597,34.77,692.65,8.949999999999932,1.0
2012-06-04,692.65,711.118,693.092,675.067,-8.159,-10.46,2.301,45.37,702.25,9.600000000000023,1.0
2012-06-05,702.25,709.836,692.772,675.709,-7.081,-9.784,2.703,54.517,714.1,11.850000000000023,1.0
2012-06-06,714.1,713.267,693.722,674.178,-5.21,-8.869,3.659,63.275,720.7,6.600000000000023,1.0
2012-06-07,720.7,718.001,695.025,672.049,-3.159,-7.727,4.568,67.32,729.4,8.699999999999932,1.0
2012-06-08,729.4,724.284,696.63,668.976,-0.822,-6.346,5.524,72.008,721.5,-7.899999999999977,0.0
2012-06-11,721.5,727.411,698.647,669.884,0.389,-4.999,5.388,62.599,722.6,1.1000000000000227,1.0
